Date,Time,"CPU Package Power [W]",
23.4.2025,16:16:40.626,51.275,
23.4.2025,16:16:40.658,51.275,
23.4.2025,16:16:40.689,51.275,
23.4.2025,16:16:40.721,50.471,
23.4.2025,16:16:40.752,50.471,
23.4.2025,16:16:40.783,50.471,
23.4.2025,16:16:40.815,50.471,
23.4.2025,16:16:40.847,56.835,
23.4.2025,16:16:40.879,56.835,
23.4.2025,16:16:40.910,56.835,
23.4.2025,16:16:40.942,56.835,
23.4.2025,16:16:40.974,52.003,
23.4.2025,16:16:41.006,52.003,
23.4.2025,16:16:41.038,52.003,
23.4.2025,16:16:41.070,50.798,
23.4.2025,16:16:41.102,50.798,
23.4.2025,16:16:41.134,50.798,
23.4.2025,16:16:41.166,50.798,
23.4.2025,16:16:41.198,57.519,
23.4.2025,16:16:41.230,57.519,
23.4.2025,16:16:41.261,57.519,
23.4.2025,16:16:41.293,51.744,
23.4.2025,16:16:41.325,51.744,
23.4.2025,16:16:41.357,51.744,
23.4.2025,16:16:41.389,51.744,
23.4.2025,16:16:41.421,52.895,
23.4.2025,16:16:41.453,52.895,
23.4.2025,16:16:41.485,52.895,
23.4.2025,16:16:41.516,52.895,
23.4.2025,16:16:41.548,52.895,
23.4.2025,16:16:41.580,58.309,
23.4.2025,16:16:41.612,58.309,
23.4.2025,16:16:41.643,58.309,
23.4.2025,16:16:41.675,61.858,
23.4.2025,16:16:41.707,61.858,
23.4.2025,16:16:41.738,54.300,
23.4.2025,16:16:41.770,54.300,
23.4.2025,16:16:41.802,54.300,
23.4.2025,16:16:41.833,54.300,
23.4.2025,16:16:41.865,47.195,
23.4.2025,16:16:41.897,47.195,
23.4.2025,16:16:41.929,56.207,
23.4.2025,16:16:41.960,56.207,
23.4.2025,16:16:41.992,56.207,
23.4.2025,16:16:42.024,56.207,
23.4.2025,16:16:42.055,56.207,
23.4.2025,16:16:42.087,56.207,
23.4.2025,16:16:42.119,56.207,
23.4.2025,16:16:42.150,66.581,
23.4.2025,16:16:42.182,66.581,
23.4.2025,16:16:42.214,66.581,
23.4.2025,16:16:42.246,66.581,
23.4.2025,16:16:42.277,66.581,
23.4.2025,16:16:42.309,66.581,
23.4.2025,16:16:42.341,69.724,
23.4.2025,16:16:42.373,69.724,
23.4.2025,16:16:42.405,69.724,
23.4.2025,16:16:42.436,69.724,
23.4.2025,16:16:42.468,69.724,
23.4.2025,16:16:42.500,63.793,
23.4.2025,16:16:42.532,63.793,
23.4.2025,16:16:42.563,63.793,
23.4.2025,16:16:42.595,63.793,
23.4.2025,16:16:42.627,63.793,
23.4.2025,16:16:42.659,51.407,
23.4.2025,16:16:42.690,51.407,
23.4.2025,16:16:42.722,51.407,
23.4.2025,16:16:42.754,51.407,
23.4.2025,16:16:42.786,51.407,
23.4.2025,16:16:42.818,51.407,
23.4.2025,16:16:42.849,51.993,
23.4.2025,16:16:42.881,51.993,
23.4.2025,16:16:42.913,51.993,
23.4.2025,16:16:42.944,51.993,
23.4.2025,16:16:42.976,51.993,
23.4.2025,16:16:43.008,51.993,
23.4.2025,16:16:43.039,62.979,
23.4.2025,16:16:43.071,62.979,
23.4.2025,16:16:43.102,62.979,
23.4.2025,16:16:43.134,62.979,
23.4.2025,16:16:43.165,62.979,
23.4.2025,16:16:43.197,62.979,
23.4.2025,16:16:43.229,77.759,
23.4.2025,16:16:43.260,77.759,
23.4.2025,16:16:43.294,77.759,
23.4.2025,16:16:43.324,77.759,
23.4.2025,16:16:43.359,77.759,
23.4.2025,16:16:43.387,77.759,
23.4.2025,16:16:43.421,77.759,
23.4.2025,16:16:43.450,77.759,
23.4.2025,16:16:43.482,77.418,
23.4.2025,16:16:43.514,77.418,
23.4.2025,16:16:43.545,77.418,
23.4.2025,16:16:43.586,77.418,
23.4.2025,16:16:43.615,77.418,
23.4.2025,16:16:43.655,76.967,
23.4.2025,16:16:43.685,76.967,
23.4.2025,16:16:43.717,76.967,
23.4.2025,16:16:43.750,76.967,
23.4.2025,16:16:43.781,76.967,
23.4.2025,16:16:43.813,76.494,
23.4.2025,16:16:43.844,76.494,
23.4.2025,16:16:43.876,76.494,
23.4.2025,16:16:43.908,73.009,
23.4.2025,16:16:43.940,73.009,
23.4.2025,16:16:43.972,73.009,
23.4.2025,16:16:44.011,73.009,
23.4.2025,16:16:44.043,66.448,
23.4.2025,16:16:44.074,66.448,
23.4.2025,16:16:44.107,66.448,
23.4.2025,16:16:44.138,65.807,
23.4.2025,16:16:44.170,65.807,
23.4.2025,16:16:44.204,65.807,
23.4.2025,16:16:44.234,65.807,
23.4.2025,16:16:44.267,65.807,
23.4.2025,16:16:44.299,65.807,
23.4.2025,16:16:44.331,65.807,
23.4.2025,16:16:44.364,57.133,
23.4.2025,16:16:44.384,57.133,
23.4.2025,16:16:44.416,57.133,
23.4.2025,16:16:44.447,57.133,
23.4.2025,16:16:44.480,57.133,
23.4.2025,16:16:44.512,58.286,
23.4.2025,16:16:44.549,58.286,
23.4.2025,16:16:44.580,58.286,
23.4.2025,16:16:44.610,53.925,
23.4.2025,16:16:44.642,53.925,
23.4.2025,16:16:44.672,63.117,
23.4.2025,16:16:44.702,63.117,
23.4.2025,16:16:44.738,63.117,
23.4.2025,16:16:44.767,63.117,
23.4.2025,16:16:44.806,65.649,
23.4.2025,16:16:44.837,65.649,
23.4.2025,16:16:44.868,65.649,
23.4.2025,16:16:44.901,49.610,
23.4.2025,16:16:44.932,49.610,
23.4.2025,16:16:44.963,49.610,
23.4.2025,16:16:44.995,51.869,
23.4.2025,16:16:45.026,51.869,
23.4.2025,16:16:45.058,51.869,
23.4.2025,16:16:45.090,53.151,
23.4.2025,16:16:45.122,53.151,
23.4.2025,16:16:45.157,52.923,
23.4.2025,16:16:45.190,52.923,
23.4.2025,16:16:45.225,52.923,
23.4.2025,16:16:45.241,50.979,
23.4.2025,16:16:45.274,55.961,
23.4.2025,16:16:45.311,55.961,
23.4.2025,16:16:45.342,55.961,
23.4.2025,16:16:45.372,51.487,
23.4.2025,16:16:45.412,51.487,
23.4.2025,16:16:45.443,53.117,
23.4.2025,16:16:45.482,53.117,
23.4.2025,16:16:45.514,53.117,
23.4.2025,16:16:45.546,53.117,
23.4.2025,16:16:45.582,53.401,
23.4.2025,16:16:45.613,53.401,
23.4.2025,16:16:45.652,53.401,
23.4.2025,16:16:45.684,53.401,
23.4.2025,16:16:45.716,53.401,
23.4.2025,16:16:45.754,49.840,
23.4.2025,16:16:45.784,49.840,
23.4.2025,16:16:45.823,49.840,
23.4.2025,16:16:45.854,49.840,
23.4.2025,16:16:45.886,49.840,
23.4.2025,16:16:45.923,53.507,
23.4.2025,16:16:45.954,53.507,
23.4.2025,16:16:45.994,52.465,
23.4.2025,16:16:46.023,52.465,
23.4.2025,16:16:46.055,52.465,
23.4.2025,16:16:46.092,52.969,
23.4.2025,16:16:46.124,52.969,
23.4.2025,16:16:46.161,52.969,
23.4.2025,16:16:46.192,52.969,
23.4.2025,16:16:46.223,51.566,
23.4.2025,16:16:46.258,51.566,
23.4.2025,16:16:46.291,51.566,
23.4.2025,16:16:46.328,51.566,
23.4.2025,16:16:46.359,51.566,
23.4.2025,16:16:46.391,51.849,
23.4.2025,16:16:46.428,51.671,
23.4.2025,16:16:46.459,51.671,
23.4.2025,16:16:46.497,51.671,
23.4.2025,16:16:46.528,51.671,
23.4.2025,16:16:46.560,49.670,
23.4.2025,16:16:46.590,49.670,
23.4.2025,16:16:46.621,54.313,
23.4.2025,16:16:46.653,54.313,
23.4.2025,16:16:46.684,54.313,
23.4.2025,16:16:46.715,54.313,
23.4.2025,16:16:46.754,48.530,
23.4.2025,16:16:46.785,48.530,
23.4.2025,16:16:46.816,48.530,
23.4.2025,16:16:46.840,48.530,
23.4.2025,16:16:46.872,48.530,
23.4.2025,16:16:46.904,48.530,
23.4.2025,16:16:46.941,52.600,
23.4.2025,16:16:46.972,52.600,
23.4.2025,16:16:47.012,52.600,
23.4.2025,16:16:47.043,52.600,
23.4.2025,16:16:47.074,52.752,
23.4.2025,16:16:47.104,52.752,
23.4.2025,16:16:47.135,53.577,
23.4.2025,16:16:47.166,53.577,
23.4.2025,16:16:47.201,53.577,
23.4.2025,16:16:47.232,42.993,
23.4.2025,16:16:47.270,49.665,
23.4.2025,16:16:47.301,49.665,
23.4.2025,16:16:47.333,49.665,
23.4.2025,16:16:47.356,51.571,
23.4.2025,16:16:47.388,51.571,
23.4.2025,16:16:47.421,51.571,
23.4.2025,16:16:47.458,51.889,
23.4.2025,16:16:47.490,51.889,
23.4.2025,16:16:47.532,51.889,
23.4.2025,16:16:47.560,51.889,
23.4.2025,16:16:47.592,43.201,
23.4.2025,16:16:47.622,43.201,
23.4.2025,16:16:47.653,43.201,
23.4.2025,16:16:47.684,53.582,
23.4.2025,16:16:47.714,53.582,
23.4.2025,16:16:47.745,53.582,
23.4.2025,16:16:47.777,49.961,
23.4.2025,16:16:47.807,49.961,
23.4.2025,16:16:47.839,49.961,
23.4.2025,16:16:47.876,51.640,
23.4.2025,16:16:47.907,51.640,
23.4.2025,16:16:47.939,51.640,
23.4.2025,16:16:47.975,51.640,
23.4.2025,16:16:48.006,53.567,
23.4.2025,16:16:48.043,53.567,
23.4.2025,16:16:48.075,53.567,
23.4.2025,16:16:48.106,52.220,
23.4.2025,16:16:48.144,52.220,
23.4.2025,16:16:48.176,52.220,
23.4.2025,16:16:48.215,52.220,
23.4.2025,16:16:48.247,50.666,
23.4.2025,16:16:48.279,50.666,
23.4.2025,16:16:48.317,50.666,
23.4.2025,16:16:48.349,52.242,
23.4.2025,16:16:48.380,52.242,
23.4.2025,16:16:48.411,52.242,
